date,displacement_mm
2021-01-02,0.5564158160305349
2021-01-08,-0.7985793346869852
2021-01-14,-1.2887922663581655
2021-01-20,-2.384976457472692
2021-01-26,-0.34258573086615246
2021-02-01,0.9230850980888998
2021-02-07,-0.06354190122456412
2021-02-13,0.3044752221446584
2021-02-19,0.6985905709307719
2021-02-25,-0.8407166784479148
2021-03-03,1.9718293577356363
2021-03-09,-0.8665266018051043
2021-03-15,0.1188424497502954
2021-03-21,1.9966646544929498
2021-03-27,-0.3014019297213123
2021-04-02,-0.13356438903276643
2021-04-08,-0.6495036356422017
2021-04-14,0.012621186883526037
2021-04-20,-1.971346957104918
2021-04-26,-0.8024470100793781
2021-05-02,1.0552745617423265
2021-05-08,-0.14593909375709643
2021-05-14,-0.5223188138284639
2021-05-20,-0.04665721035965997
2021-05-26,-0.02831454882031259
2021-06-01,-0.2533173889028161
2021-06-07,0.07287029299279424
2021-06-13,-1.7326774403982907
2021-06-19,0.05300422391260412
2021-06-25,-0.9738214174186561
2021-07-01,0.17864210962056815
2021-07-07,-0.481997357775478
2021-07-13,-1.2785462718190468
2021-07-19,-0.5527047944529302
2021-07-25,-1.31566411715579
2021-07-31,0.2851854045241874
2021-08-06,-0.5628786089898158
2021-08-12,0.12747337254287516
2021-08-18,-1.4620448534589037
2021-08-24,0.7105338716135943
2021-08-30,-0.8408490439607388
2021-09-05,0.47721267197799255
2021-09-11,0.0532410758084958
2021-09-17,-1.525756107904367
2021-09-23,-0.40147641186917266
2021-09-29,-1.1089602595428567
2021-10-05,-0.3625084096954942
2021-10-11,0.44098284086460005
2021-10-17,-0.1690633317890936
2021-10-23,0.11934871146263848
2021-10-29,-1.6872556104142833
2021-11-04,-0.6018438438406282
2021-11-10,-0.49274258233947554
2021-11-16,0.07611816516979997
2021-11-22,-1.3055386617190345
2021-11-28,-0.3699711253150422
2021-12-04,-0.4964229527640173
2021-12-10,-2.074454696803356
2021-12-16,-1.7017786886592698
2021-12-22,-0.5292633521311998
2021-12-28,-1.841254410369232
2022-01-03,-1.8965330987447735
2022-01-09,-0.21380798611016838
2022-01-15,-0.7165469683060408
2022-01-21,-1.1481249908633087
2022-01-27,-0.8906051255728238
2022-02-02,-1.313620660316793
2022-02-08,-1.4345435224014191
2022-02-14,-1.3884707479922587
2022-02-20,-0.7261504730928219
2022-02-26,0.007042947413429257
2022-03-04,-1.4416054878745879
2022-03-10,-1.1349258223402976
2022-03-16,-1.269622478575715
2022-03-22,-2.1180222082410882
2022-03-28,-0.9234468855930935
2022-04-03,-0.44658768849380126
2022-04-09,-1.8299479865047357
2022-04-15,-0.5035221105671369
2022-04-21,-1.642334078124113
2022-04-27,-0.2789595965521803
2022-05-03,-0.24230753112446246
2022-05-09,-1.5364583915925911
2022-05-15,-2.8457521914741837
2022-05-21,-1.538390798173277
2022-05-27,-2.3879661649215307
2022-06-02,-2.3417765846113143
2022-06-08,-1.507261634057591
2022-06-14,-0.23164004660356663
2022-06-20,-1.4086852204627187
2022-06-26,-1.5256641106140094
2022-07-02,-2.845399477528147
2022-07-08,-1.8648995684790086
2022-07-14,-2.5110665365857523
2022-07-20,-0.9937378040425844
2022-07-26,-1.847596470815813
2022-08-01,-1.4751274992818488
2022-08-07,-1.4683667424875704
2022-08-13,-1.6202198597446527
2022-08-19,-0.7229457522687707
2022-08-25,-1.110566030791415
2022-08-31,-1.7707018167676267
2022-09-06,-1.406992706750023
2022-09-12,-1.1027798172379344
2022-09-18,-0.46292381445958264
2022-09-24,-1.4711375787819547
2022-09-30,-0.43190484626363257
2022-10-06,-2.080340408513658
2022-10-12,-1.8070653639463283
2022-10-18,-2.8247639071506283
2022-10-24,-0.9924832648595117
2022-10-30,-2.491086861785753
2022-11-05,-2.5059710348597006
2022-11-11,-1.0213247432440242
2022-11-17,-2.136126922358262
2022-11-23,-2.3274917909714445
2022-11-29,-0.9775634671750206
2022-12-05,-1.9024402279954742
2022-12-11,-1.033729208811919
2022-12-17,-2.107146059573823
2022-12-23,-1.2186672901012732
2022-12-29,-0.9521671095608619
2023-01-04,-1.7641665070982646
2023-01-10,-0.4058006158833971
2023-01-16,-2.176912424331112
2023-01-22,-2.044384254231551
2023-01-28,-1.8265032046932854
2023-02-03,-1.1005836042786656
2023-02-09,-2.150074864763799
2023-02-15,-2.2842731862067303
2023-02-21,-1.7470101114846526
2023-02-27,-0.9651222329698754
2023-03-05,-2.316545694279598
2023-03-11,-3.0284681548085683
2023-03-17,-2.136081339483927
2023-03-23,-1.5588842698733343
2023-03-29,-2.519786776468339
2023-04-04,-2.014806536842419
2023-04-10,-3.6389184925829907
2023-04-16,-2.1570167023526308
2023-04-22,-2.12287529942117
2023-04-28,-1.7387553529817985
2023-05-04,-2.021639615242181
2023-05-10,-1.6845197203265023
2023-05-16,-3.130870231294815
2023-05-22,-1.8410834904859152
2023-05-28,-3.724756454257154
2023-06-03,-2.9161404076911213
2023-06-09,-1.5893272554314892
2023-06-15,-1.8288548781253982
2023-06-21,-4.028417273958541
2023-06-27,-2.111877956261255
2023-07-03,-2.9642480106837974
2023-07-09,-3.279313010086966
2023-07-15,-2.5311477546726637
2023-07-21,-2.629671976652113
2023-07-27,-1.6557729169464228
2023-08-02,-3.963578201086919
2023-08-08,-3.1917922330289983
